20,6.6667,13.333,0,13.333,6.6667,0,0,0,0,6.6667,0,0,6.6667,13.333,0,6.6667,0,0,6.6667,0.82149,36.66,-0.044106,-0.008992,0.30144,-5.7055,23.866,-0.55783,-0.56106,0.30811
12.5,0,6.25,12.5,12.5,6.25,0,0,6.25,12.5,0,6.25,0,6.25,12.5,6.25,0,0,0,0,-0.17279,9.4683,0.11458,-0.87553,0.23997,-0.20249,15.086,0.39906,0.40866,0.23751
23.529,0,5.8824,11.765,5.8824,0,0,5.8824,5.8824,0,0,5.8824,5.8824,0,0,17.647,0,5.8824,0,5.8824,-0.11391,4.4697,-0.041897,-0.65305,0.23077,0.044733,17.578,-0.27357,-0.15774,0.2245
0,0,0,7.6923,0,0,7.6923,15.385,15.385,0,7.6923,0,15.385,7.6923,7.6923,7.6923,7.6923,0,0,0,-4.2433,24.05,0.081488,1.5503,0.29098,-4.0567,26.854,0.3025,0.67641,0.29376
11.765,0,5.8824,5.8824,0,0,5.8824,0,0,17.647,0,0,11.765,5.8824,5.8824,17.647,5.8824,0,0,5.8824,-0.16131,35.444,0.30756,-0.35673,0.22797,-0.083853,37.899,0.046176,-0.35485,0.2305
10,5,10,0,0,0,0,5,20,10,0,0,0,5,0,20,0,5,0,10,-0.11135,8.7387,0.43256,-0.42466,0.26835,0.028233,43.044,0.27978,0.39003,0.27436
0,6.25,12.5,0,6.25,6.25,0,6.25,6.25,6.25,0,6.25,6.25,0,6.25,6.25,0,18.75,0,6.25,-0.11994,56.28,-0.21849,-0.055508,0.24807,-0.21297,26.104,-0.63357,-0.5662,0.26118
0,0,6.25,6.25,0,6.25,0,6.25,6.25,12.5,0,0,0,6.25,6.25,18.75,18.75,6.25,0,0,-0.14414,66.345,0.63535,0.10771,0.2053,0.066068,56.177,0.72226,-0.66366,0.20029
6.6667,13.333,0,13.333,0,0,6.6667,0,6.6667,6.6667,0,6.6667,0,0,6.6667,13.333,13.333,0,0,6.6667,0.19855,17.353,-0.13644,0.8669,0.27879,0.10238,53.041,0.75301,0.19931,0.28996
6.6667,0,6.6667,6.6667,0,6.6667,0,0,13.333,6.6667,0,0,6.6667,6.6667,0,13.333,13.333,6.6667,0,6.6667,-0.13822,41.895,0.36962,-0.82336,0.23272,-0.028785,44.177,0.40869,-0.88952,0.23074
5.5556,0,0,11.111,5.5556,0,0,5.5556,0,5.5556,0,0,11.111,5.5556,5.5556,16.667,0,27.778,0,0,-0.13231,21.009,-0.22403,-0.52814,0.20079,0.15358,74.731,0.6335,0.45233,0.19939
0,0,18.182,0,4.5455,13.636,4.5455,9.0909,4.5455,9.0909,0,0,4.5455,9.0909,4.5455,9.0909,0,4.5455,0,4.5455,-0.17418,43.613,-0.48972,-0.23796,0.24927,-0.13403,31.129,0.10251,-0.21815,0.25079
20,0,6.6667,6.6667,0,0,0,13.333,6.6667,6.6667,6.6667,6.6667,6.6667,0,6.6667,0,6.6667,0,0,6.6667,-0.40808,39.78,-0.046091,-0.72249,0.24626,1.1464,59.51,0.33972,-0.36483,0.25118
15,0,10,10,0,0,0,5,0,10,0,5,0,10,5,10,10,5,5,0,-0.10714,19.398,-0.213,0.75271,0.25129,-0.054453,31.391,0.49635,0.12794,0.24435
6.6667,0,0,6.6667,0,13.333,0,0,0,6.6667,6.6667,0,13.333,0,6.6667,6.6667,6.6667,20,0,6.6667,0.7358,38.203,-0.55796,-0.45293,0.22639,5.2826,55.025,0.41712,-0.081204,0.21778
22.222,0,11.111,11.111,5.5556,0,0,5.5556,5.5556,0,0,5.5556,5.5556,0,0,16.667,0,5.5556,0,5.5556,-0.087624,4.4715,-0.037243,-0.58958,0.23441,0.06275,16.761,-0.25415,-0.12126,0.22876
6.6667,0,0,0,6.6667,0,0,20,0,20,20,0,6.6667,0,0,6.6667,6.6667,6.6667,0,0,7.5842,150.99,0.41926,-0.30855,0.25541,163.38,162.82,0.33307,-0.13572,0.27939
8.3333,0,8.3333,8.3333,0,0,0,0,8.3333,16.667,0,16.667,0,0,0,8.3333,8.3333,8.3333,0,8.3333,-0.19704,32.098,0.64642,0.1765,0.2286,-0.00368,33.278,0.49684,0.069964,0.21932
28.571,7.1429,7.1429,14.286,0,0,0,0,0,7.1429,0,0,0,7.1429,7.1429,7.1429,7.1429,0,0,7.1429,-0.15346,6.6496,0.16008,-0.14721,0.24611,-0.019871,-2.1696,-0.0075327,-0.7071,0.24997
6.25,0,6.25,6.25,6.25,0,6.25,12.5,0,0,0,0,0,6.25,6.25,12.5,25,0,0,6.25,0.065153,82.021,-0.41012,0.21311,0.23701,-0.10113,41.336,0.071595,0.18996,0.23809
6.6667,0,6.6667,6.6667,6.6667,26.667,0,13.333,0,13.333,0,6.6667,0,0,6.6667,0,6.6667,0,0,0,-0.037493,33.046,0.31811,-0.47717,0.19755,-0.20352,40.681,0.15765,-0.15003,0.19425
6.6667,6.6667,0,6.6667,0,0,0,20,0,6.6667,0,6.6667,0,0,6.6667,13.333,20,0,0,6.6667,-0.18513,52.841,0.16938,-0.28085,0.24318,-0.0022731,54.356,0.69257,-0.10038,0.2437
6.6667,0,6.6667,0,6.6667,0,6.6667,0,0,6.6667,0,0,0,13.333,6.6667,33.333,6.6667,0,0,6.6667,0.036336,42.072,0.15272,0.024464,0.25146,-0.1392,38.177,0.20812,0.36366,0.2482
5.8824,0,5.8824,23.529,11.765,0,0,17.647,11.765,0,0,0,5.8824,5.8824,0,5.8824,5.8824,0,0,0,-0.33012,29.194,0.1858,0.38404,0.25635,0.1237,43.699,0.46356,0.25976,0.25929
0,0,0,0,10,40,0,0,0,0,10,10,10,0,10,10,0,0,0,0,-0.876,0.32,-0.055691,1.044,0.24191,-8.2566,3.9975,-0.28407,-0.19551,0.24473
